# WARNCELLID;NAME;KURZNAME;KENNUNG (SIGN)
115085000;Kreis Harz;Harz;HZG
115086000;Kreis Jerichower Land;Jerichower Land;JLX
115087000;Kreis Mansfeld-Südharz;Mansfeld-S-harz;MSH
115088000;Saalekreis;Saalekreis;SKX
115089000;Salzlandkreis;Salzlandkreis;SAL
115090000;Kreis Stendal;Stendal;SDL
115091000;Kreis Wittenberg;Wittenberg;WBX
116051000;Stadt Erfurt;Erfurt;EFX
116052000;Stadt Gera;Gera;GXX
116053000;Stadt Jena;Jena;JXX
116054000;Stadt Suhl;Suhl;SHL
116055000;Stadt Weimar;Weimar;WEX
116056000;Stadt Eisenach;Eisenach;EAX
116061000;Kreis Eichsfeld;Eichsfeld;EIC
116062000;Kreis Nordhausen;Nordhausen;NDH
116063000;Wartburgkreis;Wartburgkreis;WAK
116064000;Unstrut-Hainich-Kreis;Unstrut-Hainich;UHX
116065000;Kyffhäuserkreis;Kyffhäuserkreis;KYF
116066000;Kreis Schmalkalden-Meiningen;Schmalkalden-M.;SMX
116067000;Kreis Gotha;Gotha;GTH
116068000;Kreis Sömmerda;Sömmerda;SOM
116069000;Kreis Hildburghausen;Hildburghausen;HBN
116070000;Ilm-Kreis;Ilm-Kreis;IKX
116071000;Kreis Weimarer Land;Weimarer Land;APX
116072000;Kreis Sonneberg;Sonneberg;SON
116073000;Kreis Saalfeld-Rudolstadt;Saalf.-Rudolst.;SLF
116074000;Saale-Holzland-Kreis;Saale-Holzland;SHK
116075000;Saale-Orla-Kreis;Saale-Orla-Kr.;SOK
116076000;Kreis Greiz;Greiz;GRZ
116077000;Kreis Altenburger Land;Altenburg. Land;ABG
201068000;Ostholsteinische Seen;Ostholst. Seen;HOS
202006000;Alster;Alster;HAR
203159000;Northeimer Seenplatte;Northeimer Seen;HZM
203258000;Dümmer See;Dümmer See;DSH
203259000;Steinhuder Meer;Steinhuder Meer;HSM
203464000;Zwischenahner Meer;Zwischena. Meer;HZM
208438000;Bodensee - Mitte;Bodensee-Mitte;BMT
