WARNCELLID,NAME,TYPED_NAME,STATE
809471111,Altendorf,Gemeinde Altendorf,BY
816070002,Altenfeld,Gemeinde Altenfeld,TH
807336003,Altenglan,Gemeinde Altenglan,RP
816064001,Altengottern,Gemeinde Altengottern,TH
801060008,Bebensee,Gemeinde Bebensee,SH
806632003,Bebra,Stadt Bebra,HE
807141008,Becheln,Gemeinde Becheln,RP
807331005,Bechenheim,Gemeinde Bechenheim,RP
807133011,Becherbach,Gemeinde Becherbach,RP
801057006,Bendfeld,Gemeinde Bendfeld,SH
801058014,Bendorf,Gemeinde Bendorf,SH
807137203,Bendorf,Stadt Bendorf,RP
809173113,Benediktbeuern,Gemeinde Benediktbeuern,BY
816063007,Berka/Werra,Stadt Berka/Werra,TH
806636002,Berkatal,Gemeinde Berkatal,HE
812067040,Berkenbrück,Gemeinde Berkenbrück,BB
801056002,Barmstedt,Stadt Barmstedt,SH
809377112,Bärnau,Stadt Bärnau,BY
813074003,Barnekow,Gemeinde Barnekow,MV
813076007,Barnin,Gemeinde Barnin,MV
807133010,Becherbach bei Kirn,Gemeinde Becherbach bei Kirn,RP
807340203,Bechhofen,Gemeinde Bechhofen,RP
809571115,Bechhofen,Gemeinde Bechhofen,BY
816073006,Bechstedt,Gemeinde Bechstedt,TH
816071006,Bechstedtstraß,Gemeinde Bechstedtstraß,TH
807231005,Bengel,Gemeinde Bengel,RP
813076009,Bengerstorf,Gemeinde Bengerstorf,MV
813072011,Benitz,Gemeinde Benitz,MV
815087045,Benndorf,Gemeinde Benndorf,SA
801053009,Berkenthin,Gemeinde Berkenthin,SH
808426019,Berkheim,Gemeinde Berkheim,BW
812073032,Berkholz-Meyenburg,Gemeinde Berkholz-Meyenburg,BB
807232011,Berkoth,Gemeinde Berkoth,RP
811000000,Berlin,Stadt Berlin,BL
807233004,Berlingen,Gemeinde Berlingen,RP
816061003,Berlingerode,Gemeinde Berlingerode,TH
801062008,Barnitz,Gemeinde Barnitz,SH
815088030,Barnstädt,Gemeinde Barnstädt,SA
803355006,Barnstedt,Gemeinde Barnstedt,NS
803251005,Barnstorf,Gemeinde Barnstorf,NS
803158502,Barnstorf-Warle,Gemeindefreies Gebiet Barnstorf-Warle,NS
807331006,Bechtheim,Gemeinde Bechtheim,RP
807331007,Bechtolsheim,Gemeinde Bechtolsheim,RP
809374170,Bechtsrieth,Gemeinde Bechtsrieth,BY
803359006,Beckdorf,Gemeinde Beckdorf,NS
803257007,Beckedorf,Gemeinde Beckedorf,NS
803458001,Beckeln,Gemeinde Beckeln,NS
814729030,Bennewitz,Gemeinde Bennewitz,SN
807333005,Bennhausen,Gemeinde Bennhausen,RP
809778118,Benningen,Gemeinde Benningen,BY
808118006,Benningen am Neckar,Gemeinde Benningen am Neckar,BW
812069028,Bensdorf,Gemeinde Bensdorf,BB
816071007,Berlstedt,Gemeinde Berlstedt,TH
808435005,Bermatingen,Gemeinde Bermatingen,BW
816066008,Bermbach,Gemeinde Bermbach,TH
807137011,Bermel,Gemeinde Bermel,RP
807331009,Bermersheim,Gemeinde Bermersheim,RP
807331008,Bermersheim vor der Höhe,Gemeinde Bermersheim vor der Höhe,RP
805766012,Barntrup,Stadt Barntrup,NR
801057003,Barsbek,Gemeinde Barsbek,SH
801062009,Barsbüttel,Gemeinde Barsbüttel,SH
810042111,Beckingen,Gemeinde Beckingen,SL
805570008,Beckum,Stadt Beckum,NR
816066006,Benshausen,Gemeinde Benshausen,TH
806431002,Bensheim,Stadt Bensheim,HE
813072012,Bentwisch,Gemeinde Bentwisch,MV
813075009,Bentzin,Gemeinde Bentzin,MV
807141011,Berndroth,Gemeinde Berndroth,RP
803461001,Berne,Gemeinde Berne,NS
809373114,Berngau,Gemeinde Berngau,BY
809375119,Bernhardswald,Gemeinde Bernhardswald,BY
803241002,Barsinghausen,Stadt Barsinghausen,NS
803453001,Barßel,Gemeinde Barßel,NS
805362004,Bedburg,Stadt Bedburg,NR
805154004,Bedburg-Hau,Gemeinde Bedburg-Hau,NR
807336106,Bedesbach,Gemeinde Bedesbach,RP
803351003,Beedenbostel,Gemeinde Beedenbostel,NS
813074004,Benz,Gemeinde Benz,MV
813075010,Benz,Gemeinde Benz,MV
807140011,Benzweiler,Gemeinde Benzweiler,RP
809187118,Bernau a. Chiemsee,Gemeinde Bernau a. Chiemsee,BY
812060020,Bernau bei Berlin,Stadt Bernau bei Berlin,BB
808337013,Bernau im Schwarzwald,Gemeinde Bernau im Schwarzwald,BW
813072007,Bartenshagen-Parkentin,Gemeinde Bartenshagen-Parkentin,MV
813073009,Barth,Stadt Barth,MV
808136007,Bartholomä,Gemeinde Bartholomä,BW
805570012,Beelen,Gemeinde Beelen,NR
812069017,Beelitz,Stadt Beelitz,BB
815083060,Beendorf,Gemeinde Beendorf,SA
806437002,Beerfelden,Stadt Beerfelden,HE
809375118,Beratzhausen,Gemeinde Beratzhausen,BY
809373112,Berching,Stadt Berching,BY
809172116,Berchtesgaden,Gemeinde Berchtesgaden,BY
807233202,Bereborn,Gemeinde Bereborn,RP
807233203,Berenbach,Gemeinde Berenbach,RP
809190114,Bernbeuren,Gemeinde Bernbeuren,BY
815089030,Bernburg (Saale),Stadt Bernburg (Saale),SA
807233005,Berndorf,Gemeinde Berndorf,RP
813071006,Bartow,Gemeinde Bartow,MV
803355007,Barum,Gemeinde Barum,NS
803360003,Barum,Gemeinde Barum,NS
812067036,Beeskow,Stadt Beeskow,BB
803454003,Beesten,Gemeinde Beesten,NS
815081045,Beetzendorf,Gemeinde Beetzendorf,SA
807131011,Berg,Gemeinde Berg,RP
807141009,Berg,Gemeinde Berg,RP
808436013,Berg,Gemeinde Berg,BW
809188113,Berg,Gemeinde Berg,BY
809475113,Berg,Gemeinde Berg,BY
807334002,Berg (Pfalz),Gemeinde Berg (Pfalz),RP
813072013,Bernitt,Gemeinde Bernitt,MV
807231008,Bernkastel-Kues,Stadt Bernkastel-Kues,RP
809271116,Bernried,Gemeinde Bernried,BY
812072014,Baruth/Mark,Stadt Baruth/Mark,BB
803251006,Barver,Gemeinde Barver,NS
803151002,Barwedel,Gemeinde Barwedel,NS
807131008,Barweiler,Gemeinde Barweiler,RP
812069018,Beetzsee,Gemeinde Beetzsee,BB
812069019,Beetzseeheide,Gemeinde Beetzseeheide,BB
813071008,Beggerow,Gemeinde Beggerow,MV
809373113,Berg b. Neumarkt i.d. OPf.,Gemeinde Berg b. Neumarkt i.d. OPf.,BY
809185116,Berg im Gau,Gemeinde Berg im Gau,BY
815087055,Berga,Gemeinde Berga,SA
805962008,Balve,Stadt Balve,NR
809774115,Balzhausen,Gemeinde Balzhausen,BY
808425140,Balzheim,Gemeinde Balzheim,BW
807133009,Bärweiler,Gemeinde Bärweiler,RP
807233002,Basberg,Gemeinde Basberg,RP
803357004,Basdahl,Gemeinde Basdahl,NS
801053006,Basedow,Gemeinde Basedow,SH
813071007,Basedow,Gemeinde Basedow,MV
807137202,Bassenheim,Gemeinde Bassenheim,RP
801053008,Behlendorf,Gemeinde Behlendorf,SH
813072010,Behren-Lübchin,Gemeinde Behren-Lübchin,MV
801054011,Behrendorf,Gemeinde Behrendorf,SH
813075008,Behrenhoff,Gemeinde Behrenhoff,MV
816076004,Berga/Elster,Stadt Berga/Elster,TH
808436014,Bergatreute,Gemeinde Bergatreute,BW
803459009,Berge,Gemeinde Berge,NS
809461000,Bamberg,Stadt Bamberg,BY
808226006,Bammental,Gemeinde Bammental,BW
813075006,Bandelin,Gemeinde Bandelin,MV
813076004,Bandenitz,Gemeinde Bandenitz,MV
803251007,Bassum,Stadt Bassum,NS
809673116,Bastheim,Gemeinde Bastheim,BY
801053007,Basthorst,Gemeinde Basthorst,SH
813072008,Bastorf,Gemeinde Bastorf,MV
801057004,Behrensdorf (Ostsee),Gemeinde Behrensdorf (Ostsee),SH
809574451,Behringersdorfer Forst,Gemeindefreies Gebiet Behringersdorfer Forst,BY
816068003,Beichlingen,Gemeinde Beichlingen,TH
801061007,Beidenfleth,Gemeinde Beidenfleth,SH
814626020,Beiersdorf,Gemeinde Beiersdorf,SN
812064053,Beiersdorf-Freudenberg,Gemeinde Beiersdorf-Freudenberg,BB
812070028,Berge,Gemeinde Berge,BB
803351004,Bergen,Stadt Bergen,NS
807134006,Bergen,Gemeinde Bergen,RP
807335002,Bann,Gemeinde Bann,RP
807143003,Bannberscheid,Gemeinde Bannberscheid,RP
814628050,Bannewitz,Gemeinde Bannewitz,SN
803254006,Banteln,Gemeinde Banteln,NS
813076005,Banzkow,Gemeinde Banzkow,MV
807337006,Barbelroth,Gemeinde Barbelroth,RP
806635004,Battenberg (Eder),Stadt Battenberg (Eder),HE
807332003,Battenberg (Pfalz),Gemeinde Battenberg (Pfalz),RP
807340202,Battweiler,Gemeinde Battweiler,RP
809575113,Baudenbach,Gemeinde Baudenbach,BY
803154002,Beierstedt,Gemeinde Beierstedt,NS
807232010,Beilingen,Gemeinde Beilingen,RP
809176114,Beilngries,Stadt Beilngries,BY
809189113,Bergen,Gemeinde Bergen,BY
809577115,Bergen,Gemeinde Bergen,BY
814523050,Bergen,Gemeinde Bergen,SN
803354001,Bergen an der Dumme,Gemeinde Bergen an der Dumme,NS
809375117,Barbing,Gemeinde Barbing,BY
815089026,Barby,Stadt Barby,SA
816063004,Barchfeld-Immelborn,Gemeinde Barchfeld-Immelborn,TH
803355004,Bardowick,Gemeinde Bardowick,NS
807133008,Bärenbach,Gemeinde Bärenbach,RP
807140006,Bärenbach,Gemeinde Bärenbach,RP
807131009,Bauler,Gemeinde Bauler,RP
807232008,Bauler,Gemeinde Bauler,RP
813072009,Baumgarten,Gemeinde Baumgarten,MV
807134005,Baumholder,Stadt Baumholder,RP
814730030,Beilrode,Gemeinde Beilrode,SN
807135007,Beilstein,Gemeinde Beilstein,RP
808125008,Beilstein,Stadt Beilstein,BW
813073010,Bergen auf Rügen,Stadt Bergen auf Rügen,MV
807140012,Bergenhausen,Gemeinde Bergenhausen,RP
801059005,Bergenhusen,Gemeinde Bergenhusen,SH
801051008,Bergewöhrden,Gemeinde Bergewöhrden,SH
803151003,Bergfeld,Gemeinde Bergfeld,NS
808317009,Berghaupten,Gemeinde Berghaupten,BW
807141010,Berghausen,Gemeinde Berghausen,RP
803251004,Barenburg,Gemeinde Barenburg,NS
803355005,Barendorf,Gemeinde Barendorf,NS
814521060,Bärenstein,Gemeinde Bärenstein,SN
808327004,Bärenthal,Gemeinde Bärenthal,BW
801051004,Bargenstedt,Gemeinde Bargenstedt,SH
809471115,Baunach,Stadt Baunach,BY
806633003,Baunatal,Stadt Baunatal,HE
807231004,Bausendorf,Gemeinde Bausendorf,RP
807232009,Baustert,Gemeinde Baustert,RP
808425014,Beimerstetten,Gemeinde Beimerstetten,BW
807338002,Beindersheim,Gemeinde Beindersheim,RP
816069003,Beinerstadt,Gemeinde Beinerstadt,TH
807233003,Beinhausen,Gemeinde Beinhausen,RP
801061008,Bekdorf,Gemeinde Bekdorf,SH
801061010,Bekmünde,Gemeinde Bekmünde,SH
807235004,Bekond,Gemeinde Bekond,RP
801057005,Belau,Gemeinde Belau,SH
805362008,Bergheim,Stadt Bergheim,NR
809185118,Bergheim,Gemeinde Bergheim,BY
813075011,Bergholz,Gemeinde Bergholz,MV
808425017,Berghülen,Gemeinde Berghülen,BW
801062005,Bargfeld-Stegen,Gemeinde Bargfeld-Stegen,SH
813075007,Bargischow,Gemeinde Bargischow,MV
801058010,Bargstall,Gemeinde Bargstall,SH
801058011,Bargstedt,Gemeinde Bargstedt,SH
814625020,Bautzen,Stadt Bautzen,SN
803454002,Bawinkel,Gemeinde Bawinkel,NS
809277112,Bayerbach,Gemeinde Bayerbach,BY
801058013,Beldorf,Gemeinde Beldorf,SH
807140007,Belg,Gemeinde Belg,RP
814730045,Belgern-Schildau,Stadt Belgern-Schildau,SN
814729020,Belgershain,Gemeinde Belgershain,SN
807140008,Belgweiler,Gemeinde Belgweiler,RP
807137008,Bell,Gemeinde Bell,RP
805378004,Bergisch Gladbach,Stadt Bergisch Gladbach,NR
805978004,Bergkamen,Stadt Bergkamen,NR
809174113,Bergkirchen,Gemeinde Bergkirchen,BY
803359005,Bargstedt,Gemeinde Bargstedt,NS
801062006,Bargteheide,Stadt Bargteheide,SH
801054010,Bargum,Gemeinde Bargum,SH
801060007,Bark,Gemeinde Bark,SH
801058012,Barkelsby,Gemeinde Barkelsby,SH
801051005,Barkenholm,Gemeinde Barkenholm,SH
809274119,Bayerbach b. Ergoldsbach,Gemeinde Bayerbach b. Ergoldsbach,BY
807333004,Bayerfeld-Steckweiler,Gemeinde Bayerfeld-Steckweiler,RP
809276115,Bayerisch Eisenstein,Gemeinde Bayerisch Eisenstein,BY
809172115,Bayerisch Gmain,Gemeinde Bayerisch Gmain,BY
807140009,Bell (Hunsrück),Gemeinde Bell (Hunsrück),RP
809775115,Bellenberg,Gemeinde Bellenberg,BY
807334001,Bellheim,Gemeinde Bellheim,RP
807143207,Bellingen,Gemeinde Bellingen,RP
816065005,Bellstedt,Gemeinde Bellstedt,TH
803459008,Belm,Gemeinde Belm,NS
807134007,Berglangenbach,Gemeinde Berglangenbach,RP
808119089,Berglen,Gemeinde Berglen,BW
809177112,Berglern,Gemeinde Berglern,BY
807231006,Berglicht,Gemeinde Berglicht,RP
805374004,Bergneustadt,Stadt Bergneustadt,NR
813076006,Barkhagen,Gemeinde Barkhagen,MV
815083040,Barleben,Gemeinde Barleben,SA
801051006,Barlt,Gemeinde Barlt,SH
801057002,Barmissen,Gemeinde Barmissen,SH
809462000,Bayreuth,Stadt Bayreuth,BY
809182112,Bayrischzell,Gemeinde Bayrischzell,BY
816066005,Belrieth,Gemeinde Belrieth,TH
813076008,Belsch,Gemeinde Belsch,MV
807140010,Beltheim,Gemeinde Beltheim,RP
803352004,Belum,Gemeinde Belum,NS
808116008,Bempflingen,Gemeinde Bempflingen,BW
803353003,Bendestorf,Gemeinde Bendestorf,NS
809678115,Bergrheinfeld,Gemeinde Bergrheinfeld,BY
809679117,Bergtheim,Gemeinde Bergtheim,BY
807231007,Bergweiler,Gemeinde Bergweiler,RP
801058015,Beringstedt,Gemeinde Beringstedt,SH
816063006,Berka v.d. Hainich,Gemeinde Berka v.d. Hainich,TH
808315006,Bad Krozingen,Stadt Bad Krozingen,BW
805970028,Bad Laasphe,Stadt Bad Laasphe,NR
803459005,Bad Laer,Gemeinde Bad Laer,NS
808437100,Bad Saulgau,Stadt Bad Saulgau,BW
814628030,Bad Schandau,Stadt Bad Schandau,SN
808436011,Baienfurt,Gemeinde Baienfurt,BW
809274118,Baierbach,Gemeinde Baierbach,BY
809184113,Baierbrunn,Gemeinde Baierbrunn,BY
809175113,Baiern,Gemeinde Baiern,BY
816069002,Bad Colberg-Heldburg,Stadt Bad Colberg-Heldburg,TH
808117006,Bad Ditzenbach,Gemeinde Bad Ditzenbach,BW
813072006,Bad Doberan,Stadt Bad Doberan,MV
805762004,Bad Driburg,Stadt Bad Driburg,NR
816064003,Bad Langensalza,Stadt Bad Langensalza,TH
815088025,Bad Lauchstädt,Stadt Bad Lauchstädt,SA
814521050,Bad Schlema,Gemeinde Bad Schlema,SN
815091020,Bad Schmiedeberg,Stadt Bad Schmiedeberg,SA
808215100,Bad Schönborn,Gemeinde Bad Schönborn,BW
808426014,Bad Schussenried,Stadt Bad Schussenried,BW
808237004,Baiersbronn,Gemeinde Baiersbronn,BW
809572115,Baiersdorf,Stadt Baiersdorf,BY
808436012,Baindt,Gemeinde Baindt,BW
814730020,Bad Düben,Stadt Bad Düben,SN
807332002,Bad Dürkheim,Stadt Bad Dürkheim,RP
815088020,Bad Dürrenberg,Stadt Bad Dürrenberg,SA
814729010,Bad Lausick,Stadt Bad Lausick,SN
